Brand,Dress_Description,Retail_price,Rent_price,Number_of_reviews,cotton,nylon,cellulose,silk,spandex,tencel,rayon,linen,cashmere,wool,leather,polyester,metallic_fibers,Length,Sleeves,Neckline
ted baker london,bellana leopard dress,259,45,29,0,0,0,0,3,0,0,0,0,0,0,97,0,midi,cap_sleeves,crew_neckline
kate spade new york,dahlia bloom burnout dress,398,70,15,0,23,0,0,0,0,77,0,0,0,0,0,0,maxi,sleeveless,v_neckline
andamane,donna mini dress,375,35,39,0,0,0,0,3,0,0,0,0,0,0,97,0,mini,sleeveless,sweetheart_neckline
boden,black floral ivy dress,150,30,33,0,0,0,0,0,0,100,0,0,0,0,0,0,midi,long_sleeves,v_neckline
iro,morello one sleeve dress,495,53,48,0,0,0,80,0,0,20,0,0,0,0,0,0,midi,long_sleeves,one_shoulder
ted baker london,fynlie dress,329,55,41,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,crew_neckline
cecilie bahnsen,esme dress,1029,160,28,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,crew_neckline
ieena for mac duggal,floral tie back gown,598,75,9,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,v_neckline
dl1961,prince street dress,189,30,25,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,sweetheart_neckline
shoshanna,ellis ruffled gown,595,45,115,0,0,0,0,0,0,0,0,0,0,0,5,0,maxi,short_sleeves,off_shoulder_neckline
slate & willow,black cutout mini dress,115,30,15,0,0,0,0,4,0,0,0,0,0,0,96,0,midi,long_sleeves,crew_neckline
self-portrait,polka dot puff sleeve dress,555,53,26,0,0,0,0,3,0,0,0,0,0,0,97,0,maxi,long_sleeves,sweetheart_neckline
katie may,vixen faux leather dress,250,30,38,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,strapless,straight_neckline
leota,printed sweetheart wrap dress,148,30,35,0,0,0,0,5,0,0,0,0,0,0,95,0,mini,three_quarter_sleeves,sweetheart_neckline
ml monique lhuillier,red floral lace gown,495,45,394,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,short_sleeves,crew_neckline
jason wu collective,red stripe tie dress,290,50,7,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
great jones,yellow floral neck tie dress,300,50,55,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,high_neckline
saylor,everleigh dress,352,40,16,0,0,0,0,0,0,41,0,0,0,0,0,0,maxi,halter,halter
jason wu collective,multi floral dress,345,55,18,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,crew_neckline
derek lam collective,zip up sleeveless trench dress,310,55,30,98,0,0,0,2,0,0,0,0,0,0,0,0,midi,sleeveless,crew_neckline
brock collection,woven queenique dress,830,97,16,96,0,0,0,4,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
dodo bar or,printed nancy dress,417,70,26,0,0,0,0,0,0,80,0,0,0,0,20,0,maxi,short_sleeves,shirt_collar_neckline
rebecca taylor,flutter sleeves lace dress,450,64,76,0,0,70,0,0,0,0,0,0,0,0,30,0,midi,cap_sleeves,high_neckline
badgley mischka,floral one shoulder gown,890,105,160,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,short_sleeves,one_shoulder
marissa webb collective,red medallion midi dress,380,45,45,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,sweetheart_neckline
ieena for mac duggal,ruffle shoulder gown,598,90,33,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,v_neckline
banjanan,bulbul's sister dress,275,40,21,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,cap_sleeves,high_neckline
lauren ralph lauren,suzie dress,125,30,16,0,0,0,0,5,0,0,0,0,0,0,95,0,maxi,sleeveless,crew_neckline
saloni,printed anita dress,695,69,125,0,0,0,65,0,0,35,0,0,0,0,0,0,maxi,cap_sleeves,v_neckline
red valentino,denim multitoni and riserva dress,850,145,37,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,sweetheart_neckline
halston,pleated burnout georgette dress,495,49,48,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,v_neckline
saloni,orange tilly ruffle dress,425,65,56,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,sleeveless,turtleneck
universal standard,olive green lexi dress,120,30,19,48,0,0,0,4,48,0,0,0,0,0,0,0,maxi,long_sleeves,crew_neckline
thakoon collective,teaberry v-neck dress,345,50,2,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,v_neckline
of mercer,russell dress,175,30,29,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,crew_neckline
auguste,marlower shirred mini dress,159,30,62,0,0,0,0,0,0,30,0,0,0,0,0,0,mini,short_sleeves,square_neckline
red valentino,pleated mixed floral dress,1280,184,21,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,long_sleeves,high_neckline
line + dot,jessica ribbed sweater dress,129,30,16,0,35,0,0,0,0,65,0,0,0,0,0,0,maxi,long_sleeves,turtleneck
amanda uprichard,harmony dress,238,30,57,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,sweetheart_neckline
petersyn,black floral lorna midi dress,399,56,46,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,three_quarter_sleeves,v_neckline
black halo,gypsy rose sheath,375,65,30,0,99,0,0,1,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
slate & willow,bustier puff sleeve dress,270,30,6,95,0,0,0,5,0,0,0,0,0,0,0,0,midi,three_quarter_sleeves,sweetheart_neckline
trina turk,encantader dress,358,30,87,35,0,0,0,3,0,62,0,0,0,0,0,0,midi,sleeveless,boat_neckline
yumi kim,last dance dress,248,40,54,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,sleeveless,sweetheart_neckline
jason wu,daisy handkerchief dress,550,95,63,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,sleeveless,v_neckline
misa los angeles,kiana maxi,326,50,57,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,sleeveless,sweetheart_neckline
thebe magugu,fingerpaint kaftan dress,474,41,14,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,long_sleeves,crew_neckline
alexia admor,liv floral ruffle midi dress,245,30,93,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,square_neckline
badgley mischka,pint sleeveless suit dress,440,75,63,0,0,0,0,5,0,0,0,0,0,0,95,0,mini,sleeveless,v_neckline
staud,calpso maxi,325,30,15,0,100,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,crew_neckline
donna morgan,navy polka dot dress,138,30,1,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,short_sleeves,v_neckline
reformation,white floral v-neck maxi,268,30,62,0,0,0,0,0,0,100,0,0,0,0,0,0,unknown,short_sleeves,v_neckline
nicole miller,navy ponte flare dress,295,50,24,0,31,0,0,5,0,64,0,0,0,0,0,0,mini,sleeveless,crew_neckline
thakoon collective,black watercolor floral dress,300,50,25,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,sleeveless,v_neckline
slate & willow,striped sleeveless button up dress,250,45,74,45,0,0,0,0,0,20,0,0,0,0,35,0,midi,sleeveless,sweetheart_neckline
nicholas,cut out tie front dress,695,69,95,0,0,0,0,0,0,97,0,0,0,0,0,0,maxi,sleeveless,v_neckline
la vie rebecca taylor,sleeveless denim dress,295,50,29,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,v_neckline
amanda uprichard,mandy midi dress,229,30,32,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,strapless,straight_neckline
altuzarra,kim knit dress,995,105,10,0,0,0,0,0,0,0,0,0,74,0,26,0,maxi,short_sleeves,assymetric_neckline
polo ralph lauren,white floral printed dress,398,60,13,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,cap_sleeves,v_neckline
3.1 phillip lim,sleeveless poplin v-neck dress,550,95,28,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
blanknyc,green far out dress,98,30,39,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,short_sleeves,crew_neckline
three floor,pastel plisse dress,420,50,70,0,0,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,v_neckline
moon river,yellow striped dress,100,30,20,60,0,0,0,0,0,40,0,0,0,0,0,0,midi,short_sleeves,v_neckline
scotch & soda,allover summer shirtdress,135,30,29,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,shirt_collar_neckline
hutch,multi dot dress,295,50,9,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
hugo boss,dardelle dress,398,70,30,7,0,0,0,0,0,26,0,0,0,0,61,0,midi,sleeveless,v_neckline
rixo,marilyn halter dress,390,45,1,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,halter,halter
adrianna papell,red tie waist sheath,129,30,54,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,three_quarter_sleeves,crew_neckline
lido,deia dress,138,30,33,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,cap_sleeves,crew_neckline
black halo,moss mini dress,298,35,27,0,0,0,0,5,0,0,0,0,0,0,95,0,mini,three_quarter_sleeves,crew_neckline
saloni,holly midi dress,595,85,36,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,sleeveless,v_neckline
anna sui,heart printed dress,598,100,20,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,long_sleeves,crew_neckline
ramy brook,reeta ruched mini dress,445,37,28,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,cowl_neckline
ted baker london,nerida dress,379,37,181,0,20,0,0,0,0,80,0,0,0,0,0,0,midi,long_sleeves,high_neckline
elliatt,cuore dress,200,30,102,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,short_sleeves,v_neckline
misa los angeles,eliana dress,299,50,47,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,sleeveless,square_neckline
alexis,dilarra tiered lace midi dress,546,49,60,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,v_neckline
derek lam 10 crosby,black floral halter dress,695,105,41,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,sleeveless,halter
one33 social,cutout floral mini dress,395,45,4,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,long_sleeves,v_neckline
polo ralph lauren,white day dress,398,45,1,0,0,0,0,0,0,0,100,0,0,0,0,0,maxi,sleeveless,v_neckline
theory,black helaina dress,365,60,46,0,0,0,0,4,0,0,0,0,96,0,0,0,mini,sleeveless,crew_neckline
la doublej,bambi dress,730,125,55,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,crew_neckline
halston,dark slate draped sheath,275,45,42,0,0,0,0,0,71,0,0,0,0,0,29,0,midi,sleeveless,v_neckline
marchesa notte,floral embroidered puff sleeve dress,695,81,89,0,100,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,scoop_neckline
farm rio,tropical magic sweater dress,195,35,17,0,35,0,0,0,0,0,0,0,10,0,55,0,mini,long_sleeves,turtleneck
trina turk,impala dress,298,50,27,0,5,0,0,0,0,64,0,0,0,0,29,0,midi,three_quarter_sleeves,crew_neckline
shoshanna,spiaggia dress,395,65,91,0,0,0,0,0,0,47,0,0,0,0,0,0,mini,short_sleeves,v_neckline
equipment,short vivienne dress,425,75,92,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,v_neckline
bronx and banco,alicia midi dress,437,30,106,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,cap_sleeves,sweetheart_neckline
sara battaglia,abstract tank dress,665,85,8,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,sleeveless,crew_neckline
toccin,camel popover sheath,595,100,83,0,0,0,0,4,0,8,0,0,0,0,88,0,midi,sleeveless,crew_neckline
rhode,fay dress,565,53,21,0,0,0,0,0,0,84,0,0,0,0,16,0,maxi,long_sleeves,high_neckline
scotch & soda,green open back maxi,228,70,6,0,0,0,0,0,55,45,0,0,0,0,0,0,maxi,sleeveless,v_neckline
haney,holly asymmetrical dress,890,93,84,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,sleeveless,cowl_neckline
louna,mustard floral maxi,128,30,30,0,0,0,0,0,0,100,0,0,0,0,0,0,unknown,sleeveless,scoop_neckline
lauren ralph lauren,fasikka maxi,280,55,2,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
theory,kamillina dress,395,65,49,0,0,0,0,4,0,0,0,0,96,0,0,0,mini,three_quarter_sleeves,boat_neckline
veronica beard,meagan dress,695,120,83,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,shirt_collar_neckline
club monaco,easy midi wrap dress,298,50,56,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,v_neckline
manning cartell,victory lap mini dress,498,53,134,0,33,0,0,7,0,0,0,0,0,0,60,0,mini,long_sleeves,square_neckline
boden,yellow embroidered linen dress,130,30,21,0,0,0,0,0,0,0,100,0,0,0,0,0,midi,short_sleeves,crew_neckline
nicole miller,white evil eye dress,195,30,19,97,0,0,0,3,0,0,0,0,0,0,0,0,midi,sleeveless,scoop_neckline
line + dot,eva rib knit dress,122,30,22,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,long_sleeves,crew_neckline
polo ralph lauren,aran cable knit dress,348,65,14,0,35,0,0,0,0,0,0,0,20,0,0,0,midi,long_sleeves,turtleneck
jill jill stuart,floral kiera ruffle gown,478,41,93,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,square_neckline
caara,lombardy dress,155,30,13,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
thakoon collective,yellow tie waist shirtdress,310,55,2,0,0,0,0,0,100,0,0,0,0,0,0,0,mini,short_sleeves,shirt_collar_neckline
ronny kobo,kaira dress,328,30,66,0,0,0,30,0,0,70,0,0,0,0,0,0,mini,long_sleeves,high_neckline
trina turk,covelo dress,258,45,42,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,three_quarter_sleeves,v_neckline
madewell,henley sweater dress,118,30,24,0,40,0,0,0,0,0,0,0,60,0,0,0,mini,long_sleeves,v_neckline
polo ralph lauren,black floral short sleeves dress,268,45,16,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,v_neckline
one33 social,white twist front dress,245,40,66,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,long_sleeves,crew_neckline
badgley mischka,draped velvet ruffle gown,795,81,61,0,0,0,0,8,0,0,0,0,0,0,92,0,unknown,long_sleeves,off_shoulder_neckline
bardot,sierra frill dress,159,30,35,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,sleeveless,v_neckline
jason wu collective,black off the shoulder sweater dress,350,30,29,0,35,0,0,0,0,65,0,0,0,0,0,0,midi,long_sleeves,off_shoulder_neckline
hutch,britton dress,320,55,41,0,0,0,0,3,0,0,0,0,0,0,97,0,mini,cap_sleeves,v_neckline
marissa webb,kaia cutout mini dress,325,60,4,0,0,0,0,0,0,45,55,0,0,0,0,0,mini,cap_sleeves,v_neckline
tanya taylor,aliciana dress,475,80,18,0,0,0,100,0,0,0,0,0,0,0,0,0,mini,short_sleeves,shirt_collar_neckline
thakoon collective,leaf ruffle slip dress,300,45,84,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,sleeveless,v_neckline
petersyn,etta zebra dress,448,56,22,69,0,0,0,0,0,13,0,0,0,0,0,0,maxi,short_sleeves,crew_neckline
diane von furstenberg,printed indra dress,468,80,18,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
hugo boss,domaneo dress,445,75,15,0,0,69,0,0,0,0,0,0,0,0,31,0,maxi,cap_sleeves,boat_neckline
aidan aidan mattox,multi floral high low dress,265,30,120,0,0,0,0,6,0,0,0,0,0,0,94,0,midi,sleeveless,sweetheart_neckline
a.l.c.,one shoulder naomi dress,445,35,43,68,0,0,32,0,0,0,0,0,0,0,0,0,maxi,sleeveless,one_shoulder
koché collective,dot shirtdress,420,65,39,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,cap_sleeves,shirt_collar_neckline
aidan aidan mattox,lace midi dress,290,30,4,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,sleeveless,v_neckline
parker,vivi dress,448,60,39,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
alexis,wesley dress,405,45,3,0,0,0,0,0,0,49,0,0,0,0,0,0,mini,long_sleeves,boat_neckline
jonathan simkhai,gunmetal glitter dress,495,53,179,0,88,0,0,0,0,0,0,0,0,0,0,12,mini,long_sleeves,v_neckline
ieena for mac duggal,floral twist back gown,598,75,8,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,v_neckline
jonathan simkhai,marina printed mini dress,465,53,82,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,v_neckline
afrm,lissa floral mesh dress,78,30,30,0,0,0,0,5,0,0,0,0,0,0,95,0,mini,halter,halter
third form,tie dye tee dress,221,30,49,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,crew_neckline
amur,jaylah dress,598,65,205,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,one_shoulder
dress the population,alexa lace sheath,232,30,350,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,scoop_neckline
la maison talulah,beyond midi dress,320,30,7,10,0,0,0,0,0,90,0,0,0,0,0,0,maxi,short_sleeves,sweetheart_neckline
fifteen twenty,blue asymmetric shift dress,165,30,11,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,sleeveless,crew_neckline
nicole miller,velvet turtleneck dress,345,33,70,0,0,0,0,10,0,0,0,0,0,0,90,0,mini,long_sleeves,high_neckline
black halo,briar mini dress,375,30,87,0,90,0,0,10,0,0,0,0,0,0,0,0,mini,long_sleeves,high_neckline
madewell,floral button wrap dress,128,30,51,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,short_sleeves,v_neckline
parker,palmas dress,348,33,62,0,0,0,0,6,0,0,0,0,0,0,94,0,mini,long_sleeves,shirt_collar_neckline
rosetta getty,camisole dress,750,130,15,0,0,0,0,9,0,91,0,0,0,0,0,0,maxi,sleeveless,square_neckline
great jones,orange knit dress,200,35,38,0,20,0,0,0,0,0,0,0,0,0,20,0,maxi,long_sleeves,crew_neckline
tara jarmon,renata dress,298,50,9,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,three_quarter_sleeves,crew_neckline
hutch,ren sequin mini dress,275,30,41,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,sleeveless,v_neckline
rotate birger christensen,thora maxi,330,55,4,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
stine goya,will dress,270,30,56,0,0,0,0,4,0,0,0,0,0,0,96,0,midi,long_sleeves,square_neckline
diane von furstenberg,maribel sheath,398,70,73,0,30,0,0,5,0,65,0,0,0,0,0,0,midi,sleeveless,v_neckline
lauren ralph lauren,purple three quarter sleeve dress,125,30,50,0,0,0,0,5,0,0,0,0,0,0,95,0,mini,three_quarter_sleeves,crew_neckline
nina ricci,draped tasha dress,1450,169,15,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,short_sleeves,high_neckline
afrm,amina tiger dress,78,30,24,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,sleeveless,v_neckline
flynn skye,jackie slip dress,167,30,28,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,sleeveless,square_neckline
nicole miller,tech mod dress,355,60,54,7,0,0,0,0,0,27,0,0,0,0,63,0,mini,sleeveless,crew_neckline
prabal gurung collective,plaid cape dress,380,37,48,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,crew_neckline
staud,cecily dress,395,70,9,60,0,0,0,0,0,20,20,0,0,0,0,0,maxi,short_sleeves,shirt_collar_neckline
solace london,riley gown,480,49,152,0,0,0,0,5,0,0,0,0,0,0,95,0,unknown,sleeveless,square_neckline
dress the population,river dress,298,30,257,0,35,0,0,0,0,0,0,0,0,0,65,0,midi,short_sleeves,off_shoulder_neckline
equipment,green bijou dress,495,75,11,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,v_neckline
samantha sipos,patchwork slip dress,450,55,1,0,0,0,0,0,0,10,0,0,0,0,90,0,midi,halter,halter
shoshanna,black dara dress,398,70,33,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,crew_neckline
victor alfaro collective,black floral peasant dress,395,60,33,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,long_sleeves,crew_neckline
rachel rachel roy,floral svana jersey dress,129,30,58,0,0,0,0,10,0,0,0,0,0,0,90,0,midi,long_sleeves,crew_neckline
tory burch,printed cotton dress,598,90,64,74,0,0,26,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
m.m.lafleur,green ruth dress,240,40,60,0,0,0,0,4,0,0,0,0,96,0,0,0,midi,cap_sleeves,v_neckline
nicole miller,red v-neck dress,330,55,36,7,0,0,0,0,0,27,0,0,0,0,63,0,mini,cap_sleeves,v_neckline
sweet baby jamie,ivory lace midi dress,316,55,34,20,0,0,0,0,0,0,0,0,0,0,80,0,maxi,short_sleeves,v_neckline
hah,yellow queen 4 a day dress,298,30,30,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,high_neckline
parker,antoinette dress,298,55,63,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,three_quarter_sleeves,square_neckline
caara,millazo dress,145,30,46,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,crew_neckline
leota,perfect wrap dress,148,30,50,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,short_sleeves,v_neckline
slate & willow,bethany dress,250,30,79,45,0,0,0,0,0,8,0,0,0,0,45,0,midi,sleeveless,square_neckline
la vie rebecca taylor,grey high neck dress,195,30,11,100,0,0,0,0,0,0,0,0,0,0,0,0,mini,long_sleeves,high_neckline
victoria victoria beckham,cricket sweater dress,495,90,11,30,45,0,0,0,0,0,0,0,25,0,0,0,mini,short_sleeves,v_neckline
ronny kobo,bianco dress,468,49,69,0,0,0,0,5,0,0,0,0,0,0,95,0,maxi,three_quarter_sleeves,crew_neckline
acler,haslam maxi,370,30,47,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,strapless,straight_neckline
sandy liang,diddy dress,550,95,18,100,0,0,0,0,0,0,0,0,0,0,0,0,maxi,short_sleeves,crew_neckline
delfi collective,raquel dress,444,33,38,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,high_neckline
one33 social,sequin plunge mini dress,365,30,13,0,0,0,0,8,0,0,0,0,0,0,92,0,mini,long_sleeves,v_neckline
diane von furstenberg,green printed wrap dress,598,100,44,0,0,0,100,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
lauren ralph lauren,black denim dress,125,30,11,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,v_neckline
aldomartins,abstract printed midi dress,368,65,84,52,0,0,0,0,0,0,0,0,0,0,11,0,unknown,sleeveless,boat_neckline
acler,lella dress,450,75,91,100,0,0,0,0,0,0,0,0,0,0,0,0,midi,long_sleeves,v_neckline
marchesa notte,blue bird lace dress,795,81,478,0,100,0,0,0,0,0,0,0,0,0,0,0,midi,sleeveless,halter
marissa webb collective,multi floral printed puff sleeve dress,260,30,67,97,0,0,0,3,0,0,0,0,0,0,0,0,mini,short_sleeves,shirt_collar_neckline
tory burch,pleated sweater dress,498,85,31,0,0,0,0,0,0,83,0,0,0,0,0,0,midi,sleeveless,crew_neckline
patbo,pink floral puff sleeve dress,550,49,36,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,v_neckline
badgley mischka,velvet bow front dress,395,33,63,0,0,0,0,8,0,0,0,0,0,0,92,0,midi,strapless,straight_neckline
rachel comey,casa dress,625,95,13,86,14,0,0,0,0,0,0,0,0,0,0,0,midi,short_sleeves,crew_neckline
theopen product,patch pocket shirring dress,285,50,4,76,21,0,0,0,0,0,0,0,0,0,3,0,maxi,sleeveless,square_neckline
veda,black figgy dress,498,85,36,0,0,0,0,0,0,0,0,0,100,0,0,0,midi,long_sleeves,high_neckline
patbo,yellow floral dress,575,85,33,0,0,0,0,2,0,0,0,0,0,0,98,0,mini,three_quarter_sleeves,v_neckline
cupcakes and cashmere,leopard print sheryl shirtdress,130,30,16,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,shirt_collar_neckline
tory burch,grommet sleeve ponte dress,448,75,53,0,26,0,0,4,0,70,0,0,0,0,0,0,midi,long_sleeves,crew_neckline
kate spade new york,beau satin puff sleeve dress,368,30,33,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,sweetheart_neckline
viva aviva,lavendar leilani maxi,595,60,37,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,v_neckline
shoshanna,red annette dress,440,75,21,95,0,0,0,0,0,0,0,0,0,0,5,0,maxi,short_sleeves,shirt_collar_neckline
rochas,pink tie neck dress,1800,252,9,0,0,0,100,0,0,0,0,0,0,0,0,0,maxi,sleeveless,high_neckline
just female,agnes maxi,135,30,33,0,0,0,0,3,0,97,0,0,0,0,0,0,unknown,sleeveless,scoop_neckline
roksanda,anaisa maxi dress,1385,195,5,100,0,0,0,0,0,0,0,0,0,0,0,0,unknown,sleeveless,turtleneck
sachin & babi,willah dress,450,60,96,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,long_sleeves,boat_neckline
baum und pferdgarten,ariana printed dress,259,45,39,0,0,0,0,0,0,0,0,0,0,0,100,0,mini,long_sleeves,v_neckline
autumn adeigbo,rowenna floral velvet dress,595,57,26,0,0,0,0,8,0,0,0,0,0,0,92,0,maxi,short_sleeves,sweetheart_neckline
reformation,esmerelda dress,248,30,32,0,0,0,0,0,0,47,0,0,0,0,0,0,midi,short_sleeves,v_neckline
amur,lana cutout gown,698,69,42,0,0,0,0,0,0,0,0,0,0,0,100,0,unknown,sleeveless,sweetheart_neckline
joseph,flore dress,625,105,13,0,0,0,0,4,0,32,0,0,0,0,0,0,maxi,cap_sleeves,turtleneck
victoria victoria beckham,short sleeve pocket dress,540,90,23,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,short_sleeves,shirt_collar_neckline
alexia admor,blue floral sheath,200,35,66,0,0,0,0,5,0,0,0,0,0,0,95,0,midi,short_sleeves,crew_neckline
ganni,blue striped wrap dress,235,40,12,0,0,0,0,0,0,100,0,0,0,0,0,0,mini,three_quarter_sleeves,v_neckline
great jones,scarf hem slip dress,300,50,36,0,0,0,0,0,0,0,0,0,0,0,100,0,midi,sleeveless,v_neckline
alexa chung,pink houndstooth dress,420,55,44,0,0,0,0,0,0,78,0,0,0,0,22,0,midi,sleeveless,square_neckline
"love, whit by whitney port",black floral puff sleeve dress,276,30,101,0,0,0,0,0,0,0,0,0,0,0,100,0,maxi,short_sleeves,v_neckline
for love and lemons,robin midi dress,255,30,57,0,0,0,0,8,0,0,0,0,0,0,92,0,midi,sleeveless,sweetheart_neckline
black halo,como dress,390,33,32,0,55,0,0,0,0,34,0,0,0,0,0,7,mini,long_sleeves,v_neckline
susana monaco,green mina sheath,198,35,57,0,86,0,0,14,0,0,0,0,0,0,0,0,maxi,long_sleeves,turtleneck
maje,rinova mini dress,415,40,3,43,0,0,0,0,0,0,0,0,0,0,18,0,mini,sleeveless,square_neckline
la maison talulah,cannes midi dress,350,33,105,0,0,0,0,0,0,100,0,0,0,0,0,0,maxi,short_sleeves,one_shoulder
